label,message,,,
0,Wants to know how the hell I can remember words to songs from years ago but can’t remember what I went into the next room for!?!,,,
0,Love is a long sweet dream & marriage is an alarm clock..,,,
0,The world could be amazing when you are slightly strange.,,,
0,My secret talent is getting tired without doing anything. 😀,,,
0,"Khatarnaak Whatsapp Status Ever… Can\’t talk, wife around",,,
0,The new way of forgetting your past is deleting your chats 😛,,,
0,"204 countries, 805 Islands, 7 seas, 7+ Billion people and I’m still single..",,,
0,Available…. Prabhu ichhaa tak……!!!!!,,,
0,"Life is too short to be serious all the time. So if you can’t laugh at yourself, call me I will laugh at you 😀",,,
0,A really cool feature of the Nano they don’t tell you about is that even beggars ignore you at a traffic signal. Relaxing facility.,,,
0,"You love flowers, but you cut them. You love animals, but you eat them. You tell me you love me, so now I’m scared!",,,
0,"All person b very careful when u step out today n tomorrow. . They r looking out for bakra’s, Can’t afford to lose any of  u  😀",,,
0,"Men have feelings too. For example, we feel hungry.",,,
0,3 horrible things in life: 1) Slow Internet. 2) Slow Internet. 3) Slow Internet.,,,
0,My teacher today gave 45 minute speech about not wasting time.,,,
0,"Women loves shoes bcz no matter how much & whatever they eat, the shoe always fits :p",,,
0,Never laugh at your wife’s choices. ..you are one of them …,,,
0,"Thank God there is No Hindi version of WhatsApp otherwise ""Last Seen"" would be ""Antim Darshan"" .",,,
0,Hey there! I’m using my brain.,,,
0,I put my heart n soul into my work and lost my brain in d process,,,
0,"Getting married is a lot like getting into a tub of hot water. After you get used to it, it ain’t so hot.",,,
0,"Sorry about those texts I sent you last night, my phone was drunk.",,,
0,"When a bird hits your windshield, have you ever wondered if God is playing angry birds with you?",,,
0,Taking your ex back is like going to the junk yard and buying back your own crap.,,,
0,I don’t know why I keep a plastic bag at home full of plastic bags.,,,
0,I work out everyday I do 1 sit-up every morning when I wake up.,,,
0,One wise guy invented Whatsapp… and his wife added last seen feature 🙂 ,,,
0,I wish I had Google in my mind and antivirus in my heart.,,,
0,(-_-) x 1.3 Billion people = China,,,
0,You’re beautiful until your Photoshop 30 day trial has gone.,,,
0,"When you wait for a waiter in a restaurant, aren’t you a waiter?",,,
0,I love my six packs so much; I protect it with a layer of fat.,,,
0,WARNING!! I know karate …..and some other words!!!,,,
0,I Wish My Parents Were Like Google. They Should Understand Me Even Before I Complete.,,,
0,Watching PK… After PK..!!,,,
0,A man says a lot of things in summer he doesn’t mean in winter.,,,
0,I Wonder What Happen’s When Doctor’s Wife Eats An Apple A Day 😉,,,
